Semester Taken,ID,Mathrecommendation,Adjusted Score,Score
SP2017,3FDA50A1,MATH120,1916,35
SP2017,3FDA5D85,MATH120,1816,34
SP2017,3FDA5DD5,MATH120,1316,29
SP2017,3FDA71E9,MATH120,1214,26
SP2017,3FDA7A31,MATH120,2016,36
SP2017,3FDA8071,MATH120,812,20
SP2017,3FDA85B7,MATH120,810,18
SP2017,3FDA9327,MATH112,507,12
SP2017,3FDAADF3,MATH120,1313,26
SP2017,3FDAB75D,MATH115,414,18
SP2017,3FDABACD,MATH120,1414,28
SP2017,3FDABB63,MATH120,910,19
SP2017,3FDAC941,MATH120,1916,35
SP2017,3FDACE41,MATH115,712,19
SP2017,3FDAD78D,MATH120,1614,30
SP2017,3FDADA03,MATH120,1015,25
SP2017,3FDAF15F,MATH120,1515,30
SP2017,3FDAF3CB,MATH120,1612,28
SP2017,3FDAFB73,MATH115,714,21
SP2017,3FDAFD2B,MATH120,1415,29
SP2017,3FDAFFBF,MATH115,511,16
SP2017,3FDB0465,MATH120,809,17
SP2017,3FDB0F37,MATH115,410,14
SP2017,3FDB17ED,MATH115,713,20
SP2017,3FDB1C6B,MATH120,1716,33
SP2017,3FDB2111,MATH120,1414,28
SP2017,3FDB8ED5,MATH120,1013,23
SP2017,3FDBD809,MATH120,810,18
SP2017,3FDBF68B,MATH120,811,19
SP2017,3FDC11A7,MATH120,815,23
SP2017,3FDC2679,MATH115,712,19
SP2017,3FDC45D7,MATH120,1313,26
SP2017,3FDC7237,MATH120,811,19
SP2017,3FDC7ED5,MATH112,206,8
SP2017,3FDC8407,MATH120,1412,26
SP2017,3FDC9825,MATH120,1814,32
SP2017,3FDCC4C1,MATH115,510,15
SP2017,3FDD34C9,MATH120,911,20
SP2017,3FDD3CFD,MATH120,1714,31
SP2017,3FDD89B5,MATH120,1816,34
SP2017,3FDD909F,MATH115,311,14
SP2017,3FDDA3D7,MATH120,1215,27
SP2017,3FDDE6C1,MATH120,1613,29
SP2017,3FDE0F43,MATH120,1815,33
SP2017,3FDE24C9,MATH120,1113,24
SP2017,3FDE257D,MATH120,1214,26
SP2017,3FDE43D7,MATH120,1015,25
SP2017,3FDE4D2D,MATH120,1115,26
SP2017,3FDE5CCD,MATH120,1816,34
SP2017,3FDE9A35,MATH120,1015,25
SP2017,3FDEA075,MATH120,813,21
SP2017,3FDEB8DF,MATH120,1014,24
SP2017,3FDECF4B,MATH115,615,21
SP2017,3FDECF5F,MATH120,2016,36
SP2017,3FDED06D,MATH120,910,19
SP2017,3FDEF719,MATH120,1012,22
SP2017,3FDEFD77,MATH115,610,16
SP2017,3FDF0321,MATH120,812,20
SP2017,3FDF032B,MATH120,914,23
SP2017,3FDF472D,MATH120,915,24
SP2017,3FDF4B01,MATH115,611,17
SP2017,3FDF5015,MATH120,1514,29
SP2017,3FDF5BB9,MATH120,914,23
SP2017,3FDF6E5B,MATH115,713,20
SP2017,3FDF9769,MATH120,1514,29
SP2017,3FDFAB05,MATH120,913,22
SP2017,3FDFAB73,MATH120,1013,23
SP2017,3FDFDF71,MATH115,511,16
SP2017,3FDFE075,MATH120,1515,30
SP2017,3FDFE6B5,MATH120,1615,31
SP2017,3FDFE8C7,MATH120,1115,26
SP2017,3FDFFBD7,MATH120,1715,32
SP2017,3FE0059B,MATH120,914,23
SP2017,3FE015B3,MATH120,1310,23
SP2017,3FE02AF3,MATH115,709,16
SP2017,3FE03719,MATH120,1411,25
SP2017,3FE0438F,MATH115,612,18
SP2017,3FE068BF,MATH120,1614,30
SP2017,3FE069F5,MATH120,1515,30
SP2017,3FE06F09,MATH120,1009,19
SP2017,3FE071ED,MATH120,813,21
SP2017,3FE076F7,MATH120,1316,29
SP2017,3FE07F53,MATH120,1615,31
SP2017,3FE0875F,MATH120,1112,23
SP2017,3FE08CCD,MATH115,510,15
SP2017,3FE0A1D1,MATH120,1513,28
SP2017,3FE0AF0F,MATH120,1215,27
SP2017,3FE0B8F1,MATH120,810,18
SP2017,3FE0C7A1,MATH115,610,16
SP2017,3FE0CD69,MATH115,510,15
SP2017,3FE0D5ED,MATH120,1514,29
SP2017,3FE0E01F,MATH115,714,21
SP2017,3FE0E259,MATH120,1716,33
SP2017,3FE0E3C1,MATH120,1714,31
SP2017,3FE0FB1D,MATH115,611,17
SP2017,3FE0FD61,MATH120,1114,25
SP2017,3FE10C4D,MATH120,810,18
SP2017,3FE11099,MATH120,913,22
SP2017,3FE12D8B,MATH120,813,21
SP2017,3FE12E5D,MATH112,106,7
SP2017,3FE14005,MATH120,1716,33
SP2017,3FE1491F,MATH120,1016,26
SP2017,3FE15A6D,MATH112,607,13
SP2017,3FE16265,MATH120,1412,26
SP2017,3FE178D1,MATH115,710,17
SP2017,3FE181C3,MATH120,1415,29
SP2017,3FE181F5,MATH120,912,21
SP2017,3FE18259,MATH120,1815,33
SP2017,3FE1864B,MATH120,1315,28
SP2017,3FE1919F,MATH120,811,19
SP2017,3FE1928F,MATH120,1415,29
SP2017,3FE1A15D,MATH115,312,15
SP2017,3FE1A419,MATH120,1815,33
SP2017,3FE1C101,MATH120,1012,22
SP2017,3FE1C309,MATH115,509,14
SP2017,3FE1C7CD,MATH120,1010,20
SP2017,3FE1CA43,MATH112,407,11
SP2017,3FE1D051,MATH115,310,13
SP2017,3FE1D3D5,MATH112,506,11
SP2017,3FE1EF73,MATH120,812,20
SP2017,3FE1F581,MATH120,1316,29
SP2017,3FE1FED7,MATH115,615,21
SP2017,3FE2023D,MATH120,1113,24
SP2017,3FE203F5,MATH115,509,14
SP2017,3FE21697,MATH120,813,21
SP2017,3FE21EB7,MATH120,813,21
SP2017,3FE22DE9,MATH120,1412,26
SP2017,3FE2372B,MATH120,1212,24
SP2017,3FE247D9,MATH115,711,18
SP2017,3FE24EB9,MATH115,212,14
SP2017,3FE2591D,MATH115,12,12
SP2017,3FE26683,MATH115,513,18
SP2017,3FE26BDD,MATH120,1815,33
SP2017,3FE272EF,MATH112,506,11
SP2017,3FE28785,MATH120,1716,33
SP2017,3FE28D1B,MATH112,507,12
SP2017,3FE29301,MATH120,1514,29
SP2017,3FE29699,MATH120,814,22
SP2017,3FE2A0B7,MATH120,1216,28
SP2017,3FE2A8FF,MATH115,510,15
SP2017,3FE2A96D,MATH120,1216,28
SP2017,3FE2A995,MATH120,1314,27
SP2017,3FE2AE81,MATH120,1416,30
SP2017,3FE2B057,MATH120,1012,22
SP2017,3FE2BA39,MATH115,711,18
SP2017,3FE2BB01,MATH115,711,18
SP2017,3FE2BB0B,MATH120,1512,27
SP2017,3FE2C35D,MATH120,1816,34
SP2017,3FE2C713,MATH120,1715,32
SP2017,3FE2CCBD,MATH112,706,13
SP2017,3FE2DB45,MATH115,611,17
SP2017,3FE2E2F7,MATH120,1009,19
SP2017,3FE2EE7D,MATH115,311,14
SP2017,3FE2EEAF,MATH120,804,12
SP2017,3FE2F0C1,MATH120,1015,25
SP2017,3FE301D3,MATH120,1715,32
SP2017,3FE304D5,MATH120,1212,24
SP2017,3FE30511,MATH120,1214,26
SP2017,3FE3065B,MATH120,1814,32
SP2017,3FE3072D,MATH120,1415,29
SP2017,3FE307AF,MATH120,1513,28
SP2017,3FE307C3,MATH120,1616,32
SP2017,3FE3084F,MATH120,1815,33
SP2017,3FE30863,MATH120,1514,29
SP2017,3FE30949,MATH115,614,20
SP2017,3FE30A89,MATH120,1109,20
SP2017,3FE30B3D,MATH120,1114,25
SP2017,3FE30BD3,MATH120,1314,27
SP2017,3FE30D9F,MATH115,410,14
SP2017,3FE30DBD,MATH120,1115,26
SP2017,3FE30E71,MATH120,812,20
SP2017,3FE30FCF,MATH120,1511,26
SP2017,3FE310DD,MATH120,914,23
SP2017,3FE3110F,MATH120,1013,23
SP2017,3FE31123,MATH120,1415,29
SP2017,3FE31295,MATH115,410,14
SP2017,3FE312C7,MATH120,1313,26
SP2017,3FE312D1,MATH120,1816,34
SP2017,3FE314A7,MATH120,914,23
SP2017,3FE3158D,MATH120,1314,27
SP2017,3FE315A1,MATH120,1412,26
SP2017,3FE31605,MATH120,1015,25
SP2017,3FE319CF,MATH120,1412,26
SP2017,3FE31CB3,MATH120,1316,29
SP2017,3FE31E9D,MATH115,414,18
SP2017,3FE31F6F,MATH115,709,16
SP2017,3FE31F79,MATH112,208,10
SP2017,3FE3200F,MATH115,713,20
SP2017,3FE3202D,MATH115,510,15
SP2017,3FE32235,MATH120,1314,27
SP2017,3FE3225D,MATH112,307,10
SP2017,3FE32267,MATH120,815,23
SP2017,3FE322DF,MATH112,2,2
SP2017,3FE32325,MATH120,1315,28
SP2017,3FE32357,MATH115,511,16
SP2017,3FE323C5,MATH120,2014,34
SP2017,3FE32433,MATH120,813,21
SP2017,3FE324A1,MATH120,913,22
SP2017,3FE32569,MATH120,1312,25
SP2017,3FE32573,MATH120,913,22
SP2017,3FE3261D,MATH115,715,22
SP2017,3FE32677,MATH120,1614,30
SP2017,3FE326A9,MATH115,410,14
SP2017,3FE32771,MATH112,308,11
SP2017,3FE327DF,MATH115,511,16
SP2017,3FE327E9,MATH120,913,22
SP2017,3FE32825,MATH120,1312,25
SP2017,3FE32875,MATH115,512,17
SP2017,3FE330DB,MATH112,706,13
SP2017,3FE33F9F,MATH120,816,24
SP2017,3FE34319,MATH120,914,23
SP2017,3FE34571,MATH112,408,12
SP2017,3FE345C1,MATH120,813,21
SP2017,3FE348FF,MATH112,406,10
SP2017,3FE34E77,MATH120,1615,31
SP2017,3FE35197,MATH120,1112,23
SP2017,3FE35331,MATH120,914,23
SP2017,3FE3559D,MATH120,1414,28
SP2017,3FE35AB1,MATH120,1314,27
SP2017,3FE35C69,MATH120,813,21
SP2017,3FE35C91,MATH112,507,12
SP2017,3FE35D09,MATH120,1013,23
SP2017,3FE35D59,MATH120,1314,27
SP2017,3FE35F75,MATH120,1114,25
SP2017,3FE36051,MATH120,1313,26
SP2017,3FE36097,MATH120,1414,28
SP2017,3FE36169,MATH112,607,13
SP2017,3FE363C1,MATH120,912,21
SP2017,3FE36475,MATH112,305,8
SP2017,3FE36493,MATH120,1311,24
SP2017,3FE364D9,MATH120,811,19
SP2017,3FE365BF,MATH120,809,17
SP2017,3FE3667D,MATH120,1616,32
SP2017,3FE366FF,MATH120,1112,23
SP2017,3FE367C7,MATH120,914,23
SP2017,3FE368AD,MATH115,712,19
SP2017,3FE369CF,MATH120,911,20
SP2017,3FE36A1F,MATH120,811,19
SP2017,3FE36A47,MATH120,811,19
SP2017,3FE36A5B,MATH120,1211,23
SP2017,3FE37451,MATH112,506,11
SP2017,3FE380EF,MATH120,816,24
SP2017,3FE3829D,MATH112,707,14
SP2017,3FE3876B,MATH120,1015,25
SP2017,3FE3892D,MATH115,613,19
SP2017,3FE39549,MATH120,1409,23
SP2017,3FE398EB,MATH120,1109,20
SP2017,3FE39F99,MATH120,1316,29
SP2017,3FE3A683,MATH120,914,23
SP2017,3FE3A985,MATH120,1316,29
SP2017,3FE3AE3F,MATH115,609,15
SP2017,3FE3C5E1,MATH112,706,13
SP2017,3FE3CE3D,MATH120,1210,22
SP2017,3FE3DA4F,MATH120,912,21
SP2017,3FE3DAC7,MATH115,511,16
SP2017,3FE3DB17,MATH112,308,11
SP2017,3FE3DC7F,MATH112,506,11
SP2017,3FE3FB51,MATH120,909,18
SP2017,3FE4116D,MATH120,812,20
SP2017,3FE41249,MATH120,1111,22
SP2017,3FE44E53,MATH120,1716,33
SP2017,3FE46EE7,MATH112,307,10
SP2017,3FE46FB9,MATH112,602,8
SP2017,3FE48AA3,MATH115,714,21
SP2017,3FE491E7,MATH112,707,14
SP2017,3FE49485,MATH120,1214,26
SP2017,3FE49BA1,MATH120,1514,29
SP2017,3FE4A7DB,MATH120,1614,30
SP2017,3FE4A83F,MATH120,1514,29
SP2017,3FE4B7F3,MATH115,712,19
SP2017,3FE4B811,MATH120,1615,31
SP2017,3FE4B857,MATH120,1111,22
SP2017,3FE4B889,MATH112,608,14
SP2017,3FE4B893,MATH120,1012,22
SP2017,3FE4B9B5,MATH120,1013,23
SP2017,3FE4B9C9,MATH120,1113,24
SP2017,3FE4B9D3,MATH120,1214,26
SP2017,3FE4B9E7,MATH120,1514,29
SP2017,3FE4C67B,MATH112,406,10
SP2017,3FE4D021,MATH120,1716,33
SP2017,3FE4EBC9,MATH112,305,8
SP2017,3FE52C51,MATH115,613,19
SP2017,3FE52CA1,MATH120,1615,31
SP2017,3FE52DA5,MATH120,1313,26
SP2017,3FE542C7,MATH120,2016,36
SP2017,3FE543B7,MATH120,811,19
SP2017,3FE54EBB,MATH120,2016,36
SP2017,3FE54EC5,MATH120,1715,32
SP2017,3FE5525D,MATH120,1314,27
SP2017,3FE55609,MATH120,1214,26
SP2017,3FE5568B,MATH120,913,22
SP2017,3FE55717,MATH120,809,17
SP2017,3FE55979,MATH112,406,10
SP2017,3FE559F1,MATH120,1613,29
SP2017,3FE559FB,MATH120,1213,25
SP2017,3FE55A37,MATH120,1116,27
SP2017,3FE55B59,MATH120,1315,28
SP2017,3FE55BEF,MATH120,1816,34
SP2017,3FE55CFD,MATH115,614,20
SP2017,3FE55F73,MATH120,1516,31
SP2017,3FE56207,MATH115,211,13
SP2017,3FE5633D,MATH115,310,13
SP2017,3FE568FB,MATH120,1311,24
SP2017,3FE5758F,MATH120,1114,25
SP2017,3FE5784B,MATH120,1214,26
SP2017,3FE5789B,MATH115,715,22
SP2017,3FE57A8F,MATH115,511,16
SP2017,3FE57D41,MATH120,908,17
SP2017,3FE57D73,MATH115,612,18
SP2017,3FE57EF9,MATH112,107,8
SP2017,3FE5851B,MATH120,1516,31
SP2017,3FE58575,MATH120,1615,31
SP2017,3FE58A9D,MATH120,1514,29
SP2017,3FE58C05,MATH115,714,21
SP2017,3FE58CAF,MATH120,1213,25
SP2017,3FE5958D,MATH120,916,25
SP2017,3FE5964B,MATH120,2016,36
SP2017,3FE5967D,MATH120,1010,20
SP2017,3FE596EB,MATH120,1212,24
SP2017,3FE597F9,MATH115,310,13
SP2017,3FE59E61,MATH115,609,15
SP2017,3FE5BA95,MATH115,509,14
SP2017,3FE5C9B3,MATH120,1014,24
SP2017,3FE5CA8F,MATH120,1916,35
SP2017,3FE5CBE3,MATH120,1215,27
SP2017,3FE5CD05,MATH120,906,15
SP2017,3FE5CD41,MATH120,1013,23
SP2017,3FE5D33B,MATH120,1010,20
SP2017,3FE5D39F,MATH120,1514,29
SP2017,3FE5DAED,MATH120,913,22
SP2017,3FE5DD9F,MATH120,1412,26
SP2017,3FE5DDD1,MATH120,1516,31
SP2017,3FE5DDE5,MATH112,4,4
SP2017,3FE5DEC1,MATH115,713,20
SP2017,3FE5DF25,MATH112,506,11
SP2017,3FE5E119,MATH120,812,20
SP2017,3FE5E3AD,MATH120,1114,25
SP2017,3FE5E551,MATH120,1615,31
SP2017,3FE5E5C9,MATH120,1314,27
SP2017,3FE5E64B,MATH115,609,15
SP2017,3FE5E803,MATH120,1713,30
SP2017,3FE5E853,MATH115,712,19
SP2017,3FE5EB5F,MATH120,1212,24
SP2017,3FE5EC63,MATH120,1716,33
SP2017,3FE5ED53,MATH120,1415,29
SP2017,3FE5EE4D,MATH120,1013,23
SP2017,3FE5EE6B,MATH120,1213,25
SP2017,3FE5EEB1,MATH115,712,19
SP2017,3FE5F3CF,MATH120,1014,24
SP2017,3FE5F4A1,MATH120,1315,28
SP2017,3FE5F63B,MATH120,1616,32
SP2017,3FE5F6D1,MATH115,612,18
SP2017,3FE5FF55,MATH120,1816,34
SP2017,3FE5FF7D,MATH120,914,23
SP2017,3FE60149,MATH120,1214,26
SP2017,3FE6077F,MATH120,1814,32
SP2017,3FE60801,MATH120,1113,24
SP2017,3FE60879,MATH120,1012,22
SP2017,3FE60955,MATH120,915,24
SP2017,3FE60991,MATH120,1111,22
SP2017,3FE60A59,MATH120,1615,31
SP2017,3FE60BA3,MATH120,811,19
SP2017,3FE60DAB,MATH112,605,11
SP2017,3FE61071,MATH120,911,20
SP2017,3FE610FD,MATH120,1916,35
SP2017,3FE61143,MATH120,1008,18
SP2017,3FE61161,MATH115,712,19
SP2017,3FE611F7,MATH112,607,13
SP2017,3FE6132D,MATH120,1109,20
SP2017,3FE61355,MATH115,512,17
SP2017,3FE61409,MATH120,1314,27
SP2017,3FE61503,MATH120,1615,31
SP2017,3FE61BD9,MATH120,2016,36
SP2017,3FE61DFF,MATH115,513,18
SP2017,3FE61E13,MATH120,1012,22
SP2017,3FE61F21,MATH120,1515,30
SP2017,3FE62241,MATH120,809,17
SP2017,3FE625E3,MATH115,613,19
SP2017,3FE6270F,MATH120,1216,28
SP2017,3FE62741,MATH120,815,23
SP2017,3FE627FF,MATH120,1412,26
SP2017,3FE62877,MATH115,510,15
SP2017,3FE62935,MATH115,710,17
SP2017,3FE62967,MATH120,1112,23
SP2017,3FE629CB,MATH120,1614,30
SP2017,3FE62A89,MATH115,414,18
SP2017,3FE62B79,MATH120,1513,28
SP2017,3FE62C0F,MATH120,1113,24
SP2017,3FE62CCD,MATH120,1112,23
SP2017,3FE62D95,MATH120,1214,26
SP2017,3FE62E3F,MATH120,2015,35
SP2017,3FE6333F,MATH112,407,11
SP2017,3FE6337B,MATH120,1015,25
SP2017,3FE633B7,MATH112,607,13
SP2017,3FE635C9,MATH120,1515,30
SP2017,3FE636CD,MATH120,1415,29
SP2017,3FE6371D,MATH120,1114,25
SP2017,3FE63727,MATH112,508,13
SP2017,3FE6378B,MATH115,412,16
SP2017,3FE63ABF,MATH115,309,12
SP2017,3FE642A3,MATH120,1414,28
SP2017,3FE645C3,MATH120,1616,32
SP2017,3FE645FF,MATH120,1114,25
SP2017,3FE64677,MATH115,411,15
SP2017,3FE646E5,MATH112,408,12
SP2017,3FE64785,MATH115,610,16
SP2017,3FE64857,MATH115,411,15
SP2017,3FE64861,MATH120,1413,27
SP2017,3FE6496F,MATH120,1613,29
SP2017,3FE64B81,MATH115,611,17
SP2017,3FE64CB7,MATH120,812,20
SP2017,3FE64EAB,MATH120,1411,25
SP2017,3FE64F4B,MATH120,1614,30
SP2017,3FE652B1,MATH120,1113,24
SP2017,3FE654F5,MATH120,813,21
SP2017,3FE65563,MATH120,912,21
SP2017,3FE66111,MATH120,1213,25
SP2017,3FE661BB,MATH120,913,22
SP2017,3FE661CF,MATH120,912,21
SP2017,3FE66445,MATH120,1615,31
SP2017,3FE66521,MATH120,812,20
SP2017,3FE6655D,MATH112,706,13
SP2017,3FE665B7,MATH112,204,6
SP2017,3FE66661,MATH120,1014,24
SP2017,3FE6676F,MATH120,813,21
SP2017,3FE66797,MATH120,1211,23
SP2017,3FE66981,MATH120,1416,30
SP2017,3FE66AA3,MATH112,706,13
SP2017,3FE66AD5,MATH120,1109,20
SP2017,3FE66B25,MATH120,1313,26
SP2017,3FE66BC5,MATH120,912,21
SP2017,3FE66DF5,MATH120,1111,22
SP2017,3FE66E27,MATH120,1916,35
SP2017,3FE6707F,MATH115,209,11
SP2017,3FE6727D,MATH120,915,24
SP2017,3FE67ABB,MATH120,1211,23
SP2017,3FE67AF7,MATH120,813,21
SP2017,3FE67B6F,MATH120,1311,24
SP2017,3FE67B83,MATH112,706,13
SP2017,3FE67D4F,MATH115,709,16
SP2017,3FE67E7B,MATH120,807,15
SP2017,3FE67EAD,MATH120,1514,29
SP2017,3FE68137,MATH120,1312,25
SP2017,3FE68231,MATH115,711,18
SP2017,3FE68245,MATH115,409,13
SP2017,3FE682DB,MATH112,407,11
SP2017,3FE685FB,MATH120,1114,25
SP2017,3FE68687,MATH120,1015,25
SP2017,3FE6869B,MATH120,812,20
SP2017,3FE68759,MATH120,1312,25
SP2017,3FE68849,MATH115,613,19
SP2017,3FE6888F,MATH120,1212,24
SP2017,3FE688AD,MATH115,609,15
SP2017,3FE68B91,MATH120,1815,33
SP2017,3FE68DDF,MATH120,816,24
SP2017,3FE6973F,MATH112,107,8
SP2017,3FE6AAC7,MATH115,512,17
SP2017,3FE6AB5D,MATH120,1314,27
SP2017,3FE6AC43,MATH120,1316,29
SP2017,3FE6AD47,MATH115,611,17
SP2017,3FE6AE4B,MATH120,1816,34
SP2017,3FE6AED7,MATH120,1215,27
SP2017,3FE6B495,MATH120,1516,31
SP2017,3FE6B751,MATH115,612,18
SP2017,3FE6B78D,MATH120,1315,28
SP2017,3FE6B891,MATH115,609,15
SP2017,3FE6B9A9,MATH120,1113,24
SP2017,3FE6BA3F,MATH120,1515,30
SP2017,3FE6BA5D,MATH115,614,20
SP2017,3FE6BBA7,MATH120,811,19
SP2017,3FE6BCE7,MATH120,1115,26
SP2017,3FE6BE95,MATH120,1516,31
SP2017,3FE6C6FB,MATH115,613,19
SP2017,3FE6C8EF,MATH120,913,22
SP2017,3FE6CD4F,MATH120,1014,24
SP2017,3FE6CDA9,MATH120,1413,27
SP2017,3FE6CE17,MATH112,104,5
SP2017,3FE6CEC1,MATH120,1416,30
SP2017,3FE6CF2F,MATH115,412,16
SP2017,3FE6D187,MATH115,412,16
SP2017,3FE6D489,MATH115,509,14
SP2017,3FE6D94D,MATH120,1110,21
SP2017,3FE6D9A7,MATH120,2016,36
SP2017,3FE6E05F,MATH120,1009,19
SP2017,3FE6E113,MATH120,913,22
SP2017,3FE6E163,MATH115,313,16
SP2017,3FE6E19F,MATH120,1111,22
SP2017,3FE6E1A9,MATH112,308,11
SP2017,3FE6E465,MATH115,709,16
SP2017,3FE6E613,MATH115,714,21
